11905	8	OnlineShopOrderItem	7256	object	7256	Compactlight 2	1	89.9550	\N	\N	\N	\N	\N
11907	8	OnlineShopOrderItem	1574	object	1574	Alegro	1	41.9800	\N	\N	\N	\N	\N
11908	8	OnlineShopOrderItem	1116	object	1116	College	2	159.6600	\N	\N	\N	\N	\N
11909	8	OnlineShopOrderItem	1461	object	1461	Beach Tec	1	77.9400	\N	\N	\N	\N	\N
11910	8	OnlineShopOrderItem	1523	object	1523	Speed Rebel Women	1	7.1900	\N	\N	\N	\N	\N
11912	8	OnlineShopOrderItem	3360	object	3360	FORCE HG	1	44.6600	\N	\N	\N	\N	\N
11913	8	OnlineShopOrderItem	1141	object	1141	Game	1	97.5500	\N	\N	\N	\N	\N
11916	8	OnlineShopOrderItem	1191	object	1191	FORCE HG Jr	4	21.4000	\N	\N	\N	\N	\N
11917	8	OnlineShopOrderItem	1461	object	1461	Beach Tec	1	77.9400	\N	\N	\N	\N	\N
11918	8	OnlineShopOrderItem	1619	object	1619	RUNlight Doug	1	32.4300	\N	\N	\N	\N	\N
11919	8	OnlineShopOrderItem	6543	object	6543	Enduro Ultralight	1	89.9550	\N	\N	\N	\N	\N
11921	8	OnlineShopOrderItem	6836	object	6836	Rimrock men	1	99.9500	\N	\N	\N	\N	\N
11923	8	OnlineShopOrderItem	1995	object	1995	Harlem	1	83.4100	\N	\N	\N	\N	\N
11924	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	\N	\N
11925	8	OnlineShopOrderItem	1708	object	1708	Game	1	58.0000	\N	\N	\N	\N	\N
11929	8	OnlineShopOrderItem	10388	object	10388	Mirella Peak Jr	1	49.9500	\N	\N	\N	\N	\N
11930	8	OnlineShopOrderItem	10516	object	10516	Helium 75	1	29.9500	\N	\N	\N	\N	\N
11934	8	OnlineShopOrderItem	3308	object	3308	Classic FG	1	43.4800	\N	\N	\N	\N	\N
11940	8	OnlineShopOrderItem	3427	object	3427	FORCE HG	3	133.9800	\N	\N	\N	\N	\N
11973	8	OnlineShopOrderItem	1180	object	1180	Classic FG	1	43.4800	\N	\N	\N	\N	\N
11977	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	\N	\N
11981	8	OnlineShopOrderItem	1199	object	1199	FORCE Pro Bag Sr.	1	64.9700	\N	\N	\N	\N	\N
11983	8	OnlineShopOrderItem	1711	object	1711	All Court	1	12.7900	\N	\N	\N	\N	\N
11987	8	OnlineShopOrderItem	1199	object	1199	FORCE Pro Bag Sr.	1	64.9700	\N	\N	\N	\N	\N
11989	8	OnlineShopOrderItem	1180	object	1180	Classic FG	1	43.4800	\N	\N	\N	\N	\N
11993	8	OnlineShopOrderItem	1199	object	1199	FORCE Pro Bag Sr.	1	64.9700	\N	\N	\N	\N	\N
11995	8	OnlineShopOrderItem	1180	object	1180	Classic FG	1	43.4800	\N	\N	\N	\N	\N
12002	8	OnlineShopOrderItem	1529	object	1529	Ferdi	1	32.0100	\N	\N	\N	\N	\N
12005	8	OnlineShopOrderItem	10388	object	10388	Mirella Peak Jr	1	49.9500	\N	\N	\N	\N	\N
12007	8	OnlineShopOrderItem	9260	object	9260	Albany wms	1	99.9500	\N	\N	\N	\N	\N
12009	8	OnlineShopOrderItem	1573	object	1573	Ilona	1	39.8700	\N	\N	\N	\N	\N
12011	8	OnlineShopOrderItem	1139	object	1139	Supreme Grip	1	99.1700	\N	\N	\N	\N	\N
12015	8	OnlineShopOrderItem	10607	object	10607	Mirella Peak Jr	1	49.9500	\N	\N	\N	\N	\N
12019	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	\N	\N
12068	8	OnlineShopOrderItem	4661	object	4661	Ilona	1	39.8700	\N	\N	\N	\N	\N
12070	8	OnlineShopOrderItem	2015	object	2015	College	1	80.3400	\N	\N	\N	\N	\N
12072	8	OnlineShopOrderItem	1190	object	1190	Classic FG Jr	1	33.7000	\N	\N	\N	\N	\N
12074	8	OnlineShopOrderItem	4661	object	4661	Ilona	1	39.8700	\N	\N	\N	\N	\N
12076	8	OnlineShopOrderItem	1402	object	1402	MP-S	1	92.9600	\N	\N	\N	\N	\N
12078	8	OnlineShopOrderItem	1554	object	1554	Tokyo Stability II Women	1	65.9200	\N	\N	\N	\N	\N
12080	8	OnlineShopOrderItem	5652	object	5652	MP-S	1	88.5900	\N	\N	\N	\N	\N
12082	8	OnlineShopOrderItem	5037	object	5037	All Court	1	12.7900	\N	\N	\N	\N	\N
12086	8	OnlineShopOrderItem	1529	object	1529	Ferdi	1	32.0100	\N	\N	\N	\N	\N
12095	8	OnlineShopOrderItem	10494	object	10494	Barrow 60	1	69.9500	\N	\N	\N	\N	\N
12096	8	OnlineShopOrderItem	9184	object	9184	Helium 100	1	0.0000	\N		\N	\N	\N
12102	8	OnlineShopOrderItem	5037	object	5037	All Court	1	12.7900	\N	\N	\N	\N	\N
12106	8	OnlineShopOrderItem	5697	object	5697	College	10	900.0000	\N	\N	\N	720.0000	MwSt|20%|144\
Tax2|5%|36
12111	8	OnlineShopOrderItem	5697	object	5697	College	1	90.0000	\N	\N	\N	72.0000	MwSt|20%|14.4\
Pimcore Tax|5%|3.6
12112	8	OnlineShopOrderItem	3427	object	3427	FORCE HG	1	40.1940	\N	\N	\N	32.1552	MwSt|20%|6.43104\
Pimcore Tax|5%|1.60776
12114	8	OnlineShopOrderItem	1116	object	1116	College	1	79.8300	\N	\N	\N	63.8640	MwSt|20%|12.7728\
Pimcore Tax|5%|3.1932
12116	8	OnlineShopOrderItem	4459	object	4459	Ferdi	1	32.0100	\N	\N	\N	25.6080	MwSt|20%|5.1216\
Pimcore Tax|5%|1.2804
12118	8	OnlineShopOrderItem	1190	object	1190	Classic FG Jr	1	33.7000	\N	\N	\N	26.9600	MwSt|20%|5.392\
Pimcore Tax|5%|1.348
12120	8	OnlineShopOrderItem	10443	object	10443	Hula wms	1	45.9500	\N	\N	\N	36.7600	MwSt|20%|7.352\
Pimcore Tax|5%|1.838
12125	8	OnlineShopOrderItem	3843	object	3843	Beach Tec	1	77.9400	\N	\N	\N	62.3520	MwSt 20%|20%|12.4704\
pimcore tax|5%|3.1176
12127	8	OnlineShopOrderItem	3427	object	3427	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12128	8	OnlineShopOrderItem	9153	object	9153	Arium 1	1	89.9550	\N	\N	\N	71.9640	MwSt 20%|20%|14.3928\
pimcore tax|5%|3.5982
12134	8	OnlineShopOrderItem	9153	object	9153	Arium 1	1	89.9550	\N	\N	\N	71.9640	MwSt 20%|20%|14.3928\
pimcore tax|5%|3.5982
12138	8	OnlineShopOrderItem	1529	object	1529	Ferdi	1	32.0100	\N	\N	\N	25.6080	MwSt 20%|20%|5.1216\
pimcore tax|5%|1.2804
12140	8	OnlineShopOrderItem	1180	object	1180	Classic FG	1	43.4800	\N	\N	\N	34.7840	MwSt 20%|20%|6.9568\
pimcore tax|5%|1.7392
12144	8	OnlineShopOrderItem	10443	object	10443	Hula wms	1	45.9500	\N	\N	\N	36.7600	MwSt 20%|20%|7.352\
pimcore tax|5%|1.838
12146	8	OnlineShopOrderItem	6409	object	6409	Hula wms	1	4595.0000	\N	\N	\N	3676.0000	MwSt 20%|20%|735.2\
pimcore tax|5%|183.8
12147	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	4466.0000	\N	\N	\N	3572.8000	MwSt 20%|20%|714.56\
pimcore tax|5%|178.64
12151	8	OnlineShopOrderItem	3328	object	3328	College	1	79.8300	\N	\N	\N	63.8640	MwSt 20%|20%|12.7728\
pimcore tax|5%|3.1932
12153	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12156	8	OnlineShopOrderItem	1711	object	1711	All Court	10	127.9000	\N	\N	\N	102.3200	MwSt 20%|20%|20.4640\
pimcore tax|5%|5.1160
12157	8	OnlineShopOrderItem	1191	object	1191	FORCE HG Jr	20	107.0000	\N	\N	\N	85.6000	MwSt 20%|20%|17.1200\
pimcore tax|5%|4.2800
12158	8	OnlineShopOrderItem	6409	object	6409	Hula wms	15	689.2500	\N	\N	\N	551.4000	MwSt 20%|20%|110.2800\
pimcore tax|5%|27.5700
12159	8	OnlineShopOrderItem	1402	object	1402	MP-S	45	4183.2000	\N	\N	\N	3346.5600	MwSt 20%|20%|669.3120\
pimcore tax|5%|167.3280
12160	8	OnlineShopOrderItem	9149	object	9149	Arium 1	1	89.9550	\N	\N	\N	71.9640	MwSt 20%|20%|14.3928\
pimcore tax|5%|3.5982
12161	8	OnlineShopOrderItem	1186	object	1186	Classic FG	1	0.0000	\N		\N	0.0000	MwSt 20%|20%|6.9568\
pimcore tax|5%|1.7392
12163	8	OnlineShopOrderItem	6409	object	6409	Hula wms	1	45.9500	\N	\N	\N	36.7600	MwSt 20%|20%|7.3520\
pimcore tax|5%|1.8380
12177	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12181	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12183	8	OnlineShopOrderItem	6409	object	6409	Hula wms	1	45.9500	\N	\N	\N	36.7600	MwSt 20%|20%|7.3520\
pimcore tax|5%|1.8380
12185	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12187	8	OnlineShopOrderItem	1554	object	1554	Tokyo Stability II Women	1	65.9200	\N	\N	\N	52.7360	MwSt 20%|20%|10.5472\
pimcore tax|5%|2.6368
12189	8	OnlineShopOrderItem	10443	object	10443	Hula wms	1	45.9500	\N	\N	\N	36.7600	MwSt 20%|20%|7.3520\
pimcore tax|5%|1.8380
12191	8	OnlineShopOrderItem	5037	object	5037	All Court	1	12.7900	\N	\N	\N	10.2320	MwSt 20%|20%|2.0464\
pimcore tax|5%|0.5116
12193	8	OnlineShopOrderItem	1417	object	1417	MP-LW	1	34.8000	\N	\N	\N	27.8400	MwSt 20%|20%|5.5680\
pimcore tax|5%|1.3920
12206	8	OnlineShopOrderItem	1402	object	1402	MP-S	1	92.9600	\N	\N	cancelled	74.3680	MwSt 20%|20%|14.8736\
pimcore tax|5%|3.7184
12208	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12210	8	OnlineShopOrderItem	1705	object	1705	Supreme Grip	1	33.2300	\N	\N	\N	26.5840	MwSt 20%|20%|5.3168\
pimcore tax|5%|1.3292
12212	8	OnlineShopOrderItem	1180	object	1180	Classic FG	1	43.4800	\N	\N	\N	34.7840	MwSt 20%|20%|6.9568\
pimcore tax|5%|1.7392
12216	8	OnlineShopOrderItem	1180	object	1180	Classic FG	1	43.4800	\N	\N	cancelled	34.7840	MwSt 20%|20%|6.9568\
pimcore tax|5%|1.7392
12240	8	OnlineShopOrderItem	3427	object	3427	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12243	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12274	8	OnlineShopOrderItem	1174	object	1174	FORCE HG	1	44.6600	\N	\N	\N	35.7280	MwSt 20%|20%|7.1456\
pimcore tax|5%|1.7864
12337	8	OnlineShopOrderItem	10393	object	10393	Killay ux	1	89.9500	\N	\N	\N	71.9600	MwSt 20%|20%|14.3920\
pimcore tax|5%|3.5980
12404	8	OnlineShopOrderItem	9316	object	9316	Osorno AQX M	1	89.9500	\N	\N	\N	71.9600	MwSt 20%|20%|14.3920\
pimcore tax|5%|3.5980
12406	8	OnlineShopOrderItem	7074	object	7074	Imola 220	1	35.9550	\N	\N	\N	28.7640	MwSt 20%|20%|5.7528\
pimcore tax|5%|1.4382
12408	8	OnlineShopOrderItem	6992	object	6992	Cougar 35	1	79.9500	\N	\N	\N	63.9600	MwSt 20%|20%|12.7920\
pimcore tax|5%|3.1980
12410	8	OnlineShopOrderItem	1148	object	1148	All Court	1	51.7400	\N	\N	\N	41.3920	MwSt 20%|20%|8.2784\
pimcore tax|5%|2.0696
12412	8	OnlineShopOrderItem	1417	object	1417	MP-LW	1	34.8000	\N	\N	\N	27.8400	MwSt 20%|20%|5.5680\
pimcore tax|5%|1.3920
12414	8	OnlineShopOrderItem	1200	object	1200	Classic TF Jr	1	78.5600	\N	\N	\N	62.8480	MwSt 20%|20%|12.5696\
pimcore tax|5%|3.1424
12416	8	OnlineShopOrderItem	1176	object	1176	FORCE Equipment Roller	1	63.7200	\N	\N	\N	50.9760	MwSt 20%|20%|10.1952\
pimcore tax|5%|2.5488
